,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
154,3,Unidade da Federação,24,Cabeças,1759118,13,Amazonas,201502,2º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
155,3,Unidade da Federação,23,Mil dúzias,11171,13,Amazonas,201502,2º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
156,3,Unidade da Federação,,,...,13,Amazonas,201502,2º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
157,3,Unidade da Federação,24,Cabeças,1705292,13,Amazonas,201503,3º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
158,3,Unidade da Federação,23,Mil dúzias,10151,13,Amazonas,201503,3º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
159,3,Unidade da Federação,,,...,13,Amazonas,201503,3º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
160,3,Unidade da Federação,24,Cabeças,1699553,13,Amazonas,201504,4º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
161,3,Unidade da Federação,23,Mil dúzias,9914,13,Amazonas,201504,4º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
162,3,Unidade da Federação,,,...,13,Amazonas,201504,4º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
163,3,Unidade da Federação,24,Cabeças,1614355,13,Amazonas,201601,1º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
164,3,Unidade da Federação,23,Mil dúzias,9585,13,Amazonas,201601,1º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
165,3,Unidade da Federação,,,...,13,Amazonas,201601,1º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
166,3,Unidade da Federação,24,Cabeças,1627051,13,Amazonas,201602,2º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
167,3,Unidade da Federação,23,Mil dúzias,9228,13,Amazonas,201602,2º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
168,3,Unidade da Federação,,,...,13,Amazonas,201602,2º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
169,3,Unidade da Federação,24,Cabeças,1598081,13,Amazonas,201603,3º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
170,3,Unidade da Federação,23,Mil dúzias,9128,13,Amazonas,201603,3º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
171,3,Unidade da Federação,,,...,13,Amazonas,201603,3º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
172,3,Unidade da Federação,24,Cabeças,1630311,13,Amazonas,201604,4º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
173,3,Unidade da Federação,23,Mil dúzias,9374,13,Amazonas,201604,4º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
